ENSLOCP00000000416	lcat (1 of many)	lecithin-cholesterol acyltransferase [Source:ZFIN%3BAcc:ZDB-GENE-010716-3]
ENSLOCP00000004809	pxmp2	peroxisomal membrane protein 2 [Source:ZFIN%3BAcc:ZDB-GENE-040912-184]
ENSLOCP00000022245	isg15	ISG15 ubiquitin-like modifier [Source:ZFIN%3BAcc:ZDB-GENE-021211-1]
ENSLOCP00000022246	unknown	unknown
ENSLOCP00000004826	srsf9	serine/arginine-rich splicing factor 9 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2397]
ENSLOCP00000004842	GATC	glutamyl-tRNA amidotransferase subunit C [Source:HGNC Symbol%3BAcc:HGNC:25068]
ENSLOCP00000004858	triap1	TP53 regulated inhibitor of apoptosis 1 [Source:ZFIN%3BAcc:ZDB-GENE-050417-161]
ENSLOCP00000004907	sgsm1a	small G protein signaling modulator 1a [Source:ZFIN%3BAcc:ZDB-GENE-060526-379]
ENSLOCP00000004889	sgsm1a	small G protein signaling modulator 1a [Source:ZFIN%3BAcc:ZDB-GENE-060526-379]
ENSLOCP00000004936	slc6a4b	solute carrier family 6 (neurotransmitter transporter)%2C member 4b [Source:ZFIN%3BAcc:ZDB-GENE-060314-2]
ENSLOCP00000004964	ankrd13a	ankyrin repeat domain 13A [Source:ZFIN%3BAcc:ZDB-GENE-030131-1833]
ENSLOCP00000005007	git2a	G protein-coupled receptor kinase interacting ArfGAP 2a [Source:ZFIN%3BAcc:ZDB-GENE-060526-267]
ENSLOCP00000005028	git2a	G protein-coupled receptor kinase interacting ArfGAP 2a [Source:ZFIN%3BAcc:ZDB-GENE-060526-267]
ENSLOCP00000005053	tchp	trichoplein%2C keratin filament binding [Source:ZFIN%3BAcc:ZDB-GENE-060421-3368]
ENSLOCP00000005076	gltpa	glycolipid transfer protein a [Source:ZFIN%3BAcc:ZDB-GENE-060526-266]
ENSLOCP00000005107	trpv4	transient receptor potential cation channel%2C subfamily V%2C member 4 [Source:ZFIN%3BAcc:ZDB-GENE-030912-7]
ENSLOCP00000005143	fam222a	family with sequence similarity 222%2C member A [Source:ZFIN%3BAcc:ZDB-GENE-050309-42]
ENSLOCP00000005125	fam222a	family with sequence similarity 222%2C member A [Source:ZFIN%3BAcc:ZDB-GENE-050309-42]
ENSLOCP00000005162	mvk	mevalonate kinase [Source:ZFIN%3BAcc:ZDB-GENE-041114-37]
ENSLOCP00000005181	mmab	methylmalonic aciduria (cobalamin deficiency) cblB type [Source:ZFIN%3BAcc:ZDB-GENE-060526-232]
ENSLOCP00000005211	ube3b	ubiquitin protein ligase E3B [Source:ZFIN%3BAcc:ZDB-GENE-060526-231]
ENSLOCP00000005224	ube3b	ubiquitin protein ligase E3B [Source:ZFIN%3BAcc:ZDB-GENE-060526-231]
ENSLOCP00000005246	kctd10	potassium channel tetramerization domain containing 10 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2843]
ENSLOCP00000005272	myo1hb	myosin IHb [Source:ZFIN%3BAcc:ZDB-GENE-070705-355]
ENSLOCP00000005289	foxn4 (1 of many)	forkhead box N4 [Source:ZFIN%3BAcc:ZDB-GENE-990415-277]
ENSLOCP00000005340	acacb	acetyl-CoA carboxylase beta [Source:ZFIN%3BAcc:ZDB-GENE-060526-132]
ENSLOCP00000005362	unga	uracil DNA glycosylase a [Source:ZFIN%3BAcc:ZDB-GENE-040426-900]
ENSLOCP00000005378	alkbh2	alkB homolog 2%2C alpha-ketoglutarate-dependent dioxygenase [Source:ZFIN%3BAcc:ZDB-GENE-060526-327]
ENSLOCP00000005405	usp30	ubiquitin specific peptidase 30 [Source:ZFIN%3BAcc:ZDB-GENE-060526-335]
ENSLOCP00000005425	usp30	ubiquitin specific peptidase 30 [Source:ZFIN%3BAcc:ZDB-GENE-060526-335]
ENSLOCP00000005447	svopa	SV2 related protein a [Source:ZFIN%3BAcc:ZDB-GENE-060526-336]
ENSLOCP00000005470	dao.2	D-amino-acid oxidase%2C tandem duplicate 2 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2634]
ENSLOCP00000005484	dao.2	D-amino-acid oxidase%2C tandem duplicate 2 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2634]
ENSLOCP00000005518	ssh1a	slingshot protein phosphatase 1a [Source:ZFIN%3BAcc:ZDB-GENE-040724-201]
ENSLOCP00000005542	coro1ca	coronin%2C actin binding protein%2C 1Ca [Source:ZFIN%3BAcc:ZDB-GENE-030114-6]
ENSLOCP00000005563	unknown	unknown
ENSLOCP00000005584	unknown	unknown
ENSLOCP00000005601	TMEM119	transmembrane protein 119 [Source:HGNC Symbol%3BAcc:HGNC:27884]
ENSLOCP00000022247	si:ch211-191d15.2	si:ch211-191d15.2 [Source:ZFIN%3BAcc:ZDB-GENE-040724-113]
ENSLOCP00000005620	iscub	iron-sulfur cluster assembly enzyme b [Source:ZFIN%3BAcc:ZDB-GENE-050417-332]
ENSLOCP00000005651	sart3	squamous cell carcinoma antigen recognized by T cells 3 [Source:ZFIN%3BAcc:ZDB-GENE-040724-10]
ENSLOCP00000005667	ficd	FIC domain containing [Source:ZFIN%3BAcc:ZDB-GENE-030131-6588]
ENSLOCP00000005686	CMKLR1 (1 of many)	chemerin chemokine-like receptor 1 [Source:HGNC Symbol%3BAcc:HGNC:2121]
ENSLOCP00000022248	unknown	unknown
ENSLOCP00000022249	si:ch211-240b21.5	si:ch211-240b21.5 [Source:ZFIN%3BAcc:ZDB-GENE-060526-128]
ENSLOCP00000005709	wscd2	WSC domain containing 2 [Source:ZFIN%3BAcc:ZDB-GENE-060526-124]
ENSLOCP00000005751	si:ch211-225b11.1	si:ch211-225b11.1 [Source:ZFIN%3BAcc:ZDB-GENE-060531-39]
ENSLOCP00000005740	si:ch211-225b11.1	si:ch211-225b11.1 [Source:ZFIN%3BAcc:ZDB-GENE-060531-39]
ENSLOCP00000005774	rnf185	ring finger protein 185 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1977]
ENSLOCP00000005794	limk2	LIM domain kinase 2 [Source:ZFIN%3BAcc:ZDB-GENE-040718-398]
ENSLOCP00000005818	pik3ip1	phosphoinositide-3-kinase interacting protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-031030-14]
ENSLOCP00000005836	unknown	unknown
ENSLOCP00000005856	si:ch211-225b11.4	si:ch211-225b11.4 [Source:ZFIN%3BAcc:ZDB-GENE-060526-114]
ENSLOCP00000005878	si:ch211-225b11.4	si:ch211-225b11.4 [Source:ZFIN%3BAcc:ZDB-GENE-060526-114]
ENSLOCP00000005898	unknown	unknown
ENSLOCP00000005923	dgcr14	DiGeorge syndrome critical region gene 14 [Source:ZFIN%3BAcc:ZDB-GENE-030131-2843]
ENSLOCP00000022250	TSSK1B	testis specific serine kinase 1B [Source:HGNC Symbol%3BAcc:HGNC:14968]
ENSLOCP00000005946	dgcr2	DiGeorge syndrome critical region gene 2 [Source:ZFIN%3BAcc:ZDB-GENE-040718-404]
ENSLOCP00000005981	car15	carbonic anhydrase 15 [Source:ZFIN%3BAcc:ZDB-GENE-091204-152]
ENSLOCP00000005963	car15	carbonic anhydrase 15 [Source:ZFIN%3BAcc:ZDB-GENE-091204-152]
ENSLOCP00000006004	GGT5 (1 of many)	gamma-glutamyltransferase 5 [Source:HGNC Symbol%3BAcc:HGNC:4260]
ENSLOCP00000006030	si:dkey-222h21.12	si:dkey-222h21.12 [Source:ZFIN%3BAcc:ZDB-GENE-090312-33]
ENSLOCP00000006043	lrrc75ba	leucine rich repeat containing 75Ba [Source:ZFIN%3BAcc:ZDB-GENE-081104-225]
ENSLOCP00000006075	anapc5	anaphase promoting complex subunit 5 [Source:ZFIN%3BAcc:ZDB-GENE-030131-1574]
ENSLOCP00000006099	anapc5	anaphase promoting complex subunit 5 [Source:ZFIN%3BAcc:ZDB-GENE-030131-1574]
ENSLOCP00000006119	rnf34b	ring finger protein 34b [Source:ZFIN%3BAcc:ZDB-GENE-071004-31]
ENSLOCP00000006157	kdm2bb	lysine (K)-specific demethylase 2Bb [Source:ZFIN%3BAcc:ZDB-GENE-080225-13]
ENSLOCP00000006169	orai1b	ORAI calcium release-activated calcium modulator 1b [Source:ZFIN%3BAcc:ZDB-GENE-050522-100]
ENSLOCP00000006185	morn3	MORN repeat containing 3 [Source:ZFIN%3BAcc:ZDB-GENE-050417-152]
ENSLOCP00000006201	tmem120b	transmembrane protein 120B [Source:ZFIN%3BAcc:ZDB-GENE-050522-49]
ENSLOCP00000006224	rhof	ras homolog family member F [Source:ZFIN%3BAcc:ZDB-GENE-050522-280]
ENSLOCP00000006248	setd1ba	SET domain containing 1B%2C a [Source:ZFIN%3BAcc:ZDB-GENE-050309-289]
ENSLOCP00000006267	setd1ba	SET domain containing 1B%2C a [Source:ZFIN%3BAcc:ZDB-GENE-050309-289]
ENSLOCP00000006299	hpdb	4-hydroxyphenylpyruvate dioxygenase b [Source:ZFIN%3BAcc:ZDB-GENE-040808-62]
ENSLOCP00000006320	psmd9	proteasome 26S subunit%2C non-ATPase 9 [Source:ZFIN%3BAcc:ZDB-GENE-030131-431]
ENSLOCP00000006339	wdr66	WD repeat domain 66 [Source:ZFIN%3BAcc:ZDB-GENE-060526-328]
ENSLOCP00000006362	wdr66	WD repeat domain 66 [Source:ZFIN%3BAcc:ZDB-GENE-060526-328]
ENSLOCP00000006399	bcl7a	B-cell CLL/lymphoma 7A [Source:ZFIN%3BAcc:ZDB-GENE-000607-16]
ENSLOCP00000006377	bcl7a	B-cell CLL/lymphoma 7A [Source:ZFIN%3BAcc:ZDB-GENE-000607-16]
ENSLOCP00000006418	mlxip	MLX interacting protein [Source:ZFIN%3BAcc:ZDB-GENE-060526-8]
ENSLOCP00000006439	LRRC43	leucine rich repeat containing 43 [Source:HGNC Symbol%3BAcc:HGNC:28562]
ENSLOCP00000022251	B3GNT4	UDP-GlcNAc:betaGal beta-1%2C3-N-acetylglucosaminyltransferase 4 [Source:HGNC Symbol%3BAcc:HGNC:15683]
ENSLOCP00000006460	vps33a	vacuolar protein sorting 33A [Source:ZFIN%3BAcc:ZDB-GENE-040914-82]
ENSLOCP00000006492	clip1a	CAP-GLY domain containing linker protein 1a [Source:ZFIN%3BAcc:ZDB-GENE-060526-282]
ENSLOCP00000006516	clip1a	CAP-GLY domain containing linker protein 1a [Source:ZFIN%3BAcc:ZDB-GENE-060526-282]
ENSLOCP00000006528	clip1a	CAP-GLY domain containing linker protein 1a [Source:ZFIN%3BAcc:ZDB-GENE-060526-282]
ENSLOCP00000006546	zcchc8	zinc finger%2C CCHC domain containing 8 [Source:ZFIN%3BAcc:ZDB-GENE-060526-6]
ENSLOCP00000006561	rsrc2	arginine/serine-rich coiled-coil 2 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2457]
ENSLOCP00000006582	si:ch211-110p13.9	si:ch211-110p13.9 [Source:ZFIN%3BAcc:ZDB-GENE-060526-9]
ENSLOCP00000006622	kntc1	kinetochore associated 1 [Source:ZFIN%3BAcc:ZDB-GENE-050208-92]
ENSLOCP00000022252	hcar1-2	hydroxycarboxylic acid receptor 1-2 [Source:ZFIN%3BAcc:ZDB-GENE-111111-6]
ENSLOCP00000022253	unknown	unknown
ENSLOCP00000022254	HCAR1	hydroxycarboxylic acid receptor 1 [Source:HGNC Symbol%3BAcc:HGNC:4532]
ENSLOCP00000006638	denr	density-regulated protein [Source:ZFIN%3BAcc:ZDB-GENE-040718-450]
ENSLOCP00000006660	hip1ra	huntingtin interacting protein 1 related a [Source:ZFIN%3BAcc:ZDB-GENE-040718-71]
ENSLOCP00000006698	hip1rb	huntingtin interacting protein 1 related b [Source:ZFIN%3BAcc:ZDB-GENE-070209-59]
ENSLOCP00000006716	abcb9	ATP-binding cassette%2C sub-family B (MDR/TAP)%2C member 9 [Source:ZFIN%3BAcc:ZDB-GENE-050517-12]
ENSLOCP00000006742	zgc:113436	zgc:113436 [Source:ZFIN%3BAcc:ZDB-GENE-050220-6]
ENSLOCP00000006764	ogfod2	2-oxoglutarate and iron-dependent oxygenase domain containing 2 [Source:ZFIN%3BAcc:ZDB-GENE-061215-54]
ENSLOCP00000006779	arl6ip4	ADP-ribosylation factor-like 6 interacting protein 4 [Source:ZFIN%3BAcc:ZDB-GENE-050522-405]
ENSLOCP00000006811	PITPNM2	phosphatidylinositol transfer protein membrane associated 2 [Source:HGNC Symbol%3BAcc:HGNC:21044]
ENSLOCP00000006829	MPHOSPH9	M-phase phosphoprotein 9 [Source:HGNC Symbol%3BAcc:HGNC:7215]
ENSLOCP00000006847	MPHOSPH9	M-phase phosphoprotein 9 [Source:HGNC Symbol%3BAcc:HGNC:7215]
ENSLOCP00000006863	MPHOSPH9	M-phase phosphoprotein 9 [Source:HGNC Symbol%3BAcc:HGNC:7215]
ENSLOCP00000006881	si:ch211-275j6.5	si:ch211-275j6.5 [Source:ZFIN%3BAcc:ZDB-GENE-130109-1]
ENSLOCP00000006915	SBNO1	strawberry notch homolog 1 [Source:HGNC Symbol%3BAcc:HGNC:22973]
ENSLOCP00000006933	setd8a	SET domain containing (lysine methyltransferase) 8a [Source:ZFIN%3BAcc:ZDB-GENE-060825-37]
ENSLOCP00000006959	rilpl2	Rab interacting lysosomal protein-like 2 [Source:ZFIN%3BAcc:ZDB-GENE-030131-6682]
ENSLOCP00000022255	snrnp35	small nuclear ribonucleoprotein 35 (U11/U12) [Source:ZFIN%3BAcc:ZDB-GENE-050706-77]
ENSLOCP00000006976	RILPL1	Rab interacting lysosomal protein like 1 [Source:HGNC Symbol%3BAcc:HGNC:26814]
ENSLOCP00000006993	tmed2	transmembrane p24 trafficking protein 2 [Source:ZFIN%3BAcc:ZDB-GENE-030131-269]
ENSLOCP00000007017	tmed2	transmembrane p24 trafficking protein 2 [Source:ZFIN%3BAcc:ZDB-GENE-030131-269]
ENSLOCP00000007039	ddx55	DEAD (Asp-Glu-Ala-Asp) box polypeptide 55 [Source:ZFIN%3BAcc:ZDB-GENE-021212-1]
ENSLOCP00000007081	eif2b1	eukaryotic translation initiation factor 2B%2C subunit 1 alpha [Source:ZFIN%3BAcc:ZDB-GENE-040625-25]
ENSLOCP00000007058	eif2b1	eukaryotic translation initiation factor 2B%2C subunit 1 alpha [Source:ZFIN%3BAcc:ZDB-GENE-040625-25]
ENSLOCP00000007109	gtf2h3	general transcription factor IIH%2C polypeptide 3 [Source:ZFIN%3BAcc:ZDB-GENE-040718-302]
ENSLOCP00000007120	gtf2h3	general transcription factor IIH%2C polypeptide 3 [Source:ZFIN%3BAcc:ZDB-GENE-040718-302]
ENSLOCP00000007141	nfkbil1	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 1 [Source:ZFIN%3BAcc:ZDB-GENE-040116-7]
ENSLOCP00000007158	tctn2	tectonic family member 2 [Source:ZFIN%3BAcc:ZDB-GENE-030131-751]
ENSLOCP00000007183	atp6v0a2a	ATPase%2C H+ transporting%2C lysosomal V0 subunit a2a [Source:ZFIN%3BAcc:ZDB-GENE-091113-4]
ENSLOCP00000007209	si:dkeyp-86b9.1	si:dkeyp-86b9.1 [Source:ZFIN%3BAcc:ZDB-GENE-060531-163]
ENSLOCP00000007231	ccdc92	coiled-coil domain containing 92 [Source:ZFIN%3BAcc:ZDB-GENE-051113-120]
ENSLOCP00000007254	fam101a	family with sequence similarity 101%2C member A [Source:ZFIN%3BAcc:ZDB-GENE-030616-80]
ENSLOCP00000007301	ncor2	nuclear receptor corepressor 2 [Source:ZFIN%3BAcc:ZDB-GENE-030616-81]
ENSLOCP00000007320	noc4l	nucleolar complex associated 4 homolog [Source:ZFIN%3BAcc:ZDB-GENE-050522-98]
ENSLOCP00000007339	noc4l	nucleolar complex associated 4 homolog [Source:ZFIN%3BAcc:ZDB-GENE-050522-98]
ENSLOCP00000007366	ep400	E1A binding protein p400 [Source:ZFIN%3BAcc:ZDB-GENE-081104-186]
ENSLOCP00000007389	ep400	E1A binding protein p400 [Source:ZFIN%3BAcc:ZDB-GENE-081104-186]
ENSLOCP00000007404	pus1	pseudouridylate synthase 1 [Source:ZFIN%3BAcc:ZDB-GENE-041212-26]
ENSLOCP00000007442	ulk1a	unc-51 like autophagy activating kinase 1a [Source:ZFIN%3BAcc:ZDB-GENE-080723-31]
ENSLOCP00000007472	mmp17a	matrix metallopeptidase 17a [Source:ZFIN%3BAcc:ZDB-GENE-070820-2]
ENSLOCP00000007492	sfswap	splicing factor%2C suppressor of white-apricot family [Source:ZFIN%3BAcc:ZDB-GENE-040426-931]
ENSLOCP00000007511	ADGRD1	adhesion G protein-coupled receptor D1 [Source:HGNC Symbol%3BAcc:HGNC:19893]
ENSLOCP00000007531	RAN (1 of many)	RAN%2C member RAS oncogene family [Source:HGNC Symbol%3BAcc:HGNC:9846]
ENSLOCP00000007550	stx2b	syntaxin 2b [Source:ZFIN%3BAcc:ZDB-GENE-091204-424]
ENSLOCP00000007570	rimbp2	RIMS binding protein 2 [Source:ZFIN%3BAcc:ZDB-GENE-040724-96]
ENSLOCP00000007591	piwil1	piwi-like RNA-mediated gene silencing 1 [Source:ZFIN%3BAcc:ZDB-GENE-030813-2]
ENSLOCP00000022256	fzd10	frizzled class receptor 10 [Source:ZFIN%3BAcc:ZDB-GENE-990415-220]
ENSLOCP00000007620	si:dkey-1d7.3	si:dkey-1d7.3 [Source:ZFIN%3BAcc:ZDB-GENE-091118-46]
ENSLOCP00000007642	glt1d1	glycosyltransferase 1 domain containing 1 [Source:ZFIN%3BAcc:ZDB-GENE-110203-1]
ENSLOCP00000007657	slc15a4	solute carrier family 15 (oligopeptide transporter)%2C member 4 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1047]
ENSLOCP00000007682	slc15a4	solute carrier family 15 (oligopeptide transporter)%2C member 4 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1047]
ENSLOCP00000007702	si:dkey-112m2.1	si:dkey-112m2.1 [Source:ZFIN%3BAcc:ZDB-GENE-091116-15]
ENSLOCP00000007723	si:dkey-112m2.1	si:dkey-112m2.1 [Source:ZFIN%3BAcc:ZDB-GENE-091116-15]
ENSLOCP00000007751	smpd4	sphingomyelin phosphodiesterase 4 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2672]
ENSLOCP00000007771	smpd4	sphingomyelin phosphodiesterase 4 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2672]
ENSLOCP00000007792	si:ch211-222n4.2	si:ch211-222n4.2 [Source:ZFIN%3BAcc:ZDB-GENE-091118-110]
ENSLOCP00000007816	med15	mediator complex subunit 15 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2032]
ENSLOCP00000007835	med15	mediator complex subunit 15 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2032]
ENSLOCP00000007860	med15	mediator complex subunit 15 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2032]
ENSLOCP00000007878	klhl22	kelch-like family member 22 [Source:ZFIN%3BAcc:ZDB-GENE-081104-154]
ENSLOCP00000007898	crkl	v-crk avian sarcoma virus CT10 oncogene homolog-like [Source:ZFIN%3BAcc:ZDB-GENE-040426-2951]
ENSLOCP00000007916	tbx16	T-box 16 [Source:ZFIN%3BAcc:ZDB-GENE-990615-5]
ENSLOCP00000007937	cabin1	calcineurin binding protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-1735]
ENSLOCP00000007951	cabin1	calcineurin binding protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-1735]
ENSLOCP00000007971	ddt	D-dopachrome tautomerase [Source:ZFIN%3BAcc:ZDB-GENE-040625-160]
ENSLOCP00000007993	chchd10	coiled-coil-helix-coiled-coil-helix domain containing 10 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1753]
ENSLOCP00000008019	mmp11a	matrix metallopeptidase 11a [Source:ZFIN%3BAcc:ZDB-GENE-070817-3]
ENSLOCP00000008037	mmp11a	matrix metallopeptidase 11a [Source:ZFIN%3BAcc:ZDB-GENE-070817-3]
ENSLOCP00000008057	derl3	derlin 3 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1324]
ENSLOCP00000008073	smarcb1a	SWI/SNF related%2C matrix associated%2C actin dependent regulator of chromatin%2C subfamily b%2C member 1a [Source:ZFIN%3BAcc:ZDB-GENE-041114-5]
ENSLOCP00000008091	smarcb1a	SWI/SNF related%2C matrix associated%2C actin dependent regulator of chromatin%2C subfamily b%2C member 1a [Source:ZFIN%3BAcc:ZDB-GENE-041114-5]
ENSLOCP00000008119	slc2a11a	solute carrier family 2 (facilitated glucose transporter)%2C member 11a [Source:ZFIN%3BAcc:ZDB-GENE-080723-20]
ENSLOCP00000008140	unknown	unknown
ENSLOCP00000008171	slc2a11l	solute carrier family 2 (facilitated glucose transporter)%2C member 11-like [Source:ZFIN%3BAcc:ZDB-GENE-061215-118]
ENSLOCP00000008193	ndc80	NDC80 kinetochore complex component [Source:ZFIN%3BAcc:ZDB-GENE-030131-904]
ENSLOCP00000008213	mif	macrophage migration inhibitory factor [Source:ZFIN%3BAcc:ZDB-GENE-080708-1]
ENSLOCP00000008229	cenpe	centromere protein E [Source:ZFIN%3BAcc:ZDB-GENE-060929-860]
ENSLOCP00000008253	cenpe	centromere protein E [Source:ZFIN%3BAcc:ZDB-GENE-060929-860]
ENSLOCP00000008272	cenpe	centromere protein E [Source:ZFIN%3BAcc:ZDB-GENE-060929-860]
ENSLOCP00000008297	ddx51	DEAD (Asp-Glu-Ala-Asp) box polypeptide 51 [Source:ZFIN%3BAcc:ZDB-GENE-040927-28]
ENSLOCP00000008313	gstt1b (1 of many)	glutathione S-transferase theta 1b [Source:ZFIN%3BAcc:ZDB-GENE-040426-1491]
ENSLOCP00000008332	gstt1b (1 of many)	glutathione S-transferase theta 1b [Source:ZFIN%3BAcc:ZDB-GENE-040426-1491]
ENSLOCP00000008355	tas2r200.1	taste receptor%2C type 2%2C member 200%2C tandem duplicate 1 [Source:ZFIN%3BAcc:ZDB-GENE-070917-4]
ENSLOCP00000008376	p2rx7	purinergic receptor P2X%2C ligand-gated ion channel%2C 7 [Source:ZFIN%3BAcc:ZDB-GENE-030319-6]
ENSLOCP00000008392	p2rx4b	purinergic receptor P2X%2C ligand-gated ion channel%2C 4b [Source:ZFIN%3BAcc:ZDB-GENE-030319-4]
ENSLOCP00000008410	CAMKK2	calcium/calmodulin dependent protein kinase kinase 2 [Source:HGNC Symbol%3BAcc:HGNC:1470]
ENSLOCP00000008424	CAMKK2	calcium/calmodulin dependent protein kinase kinase 2 [Source:HGNC Symbol%3BAcc:HGNC:1470]
ENSLOCP00000008441	snrpd3l	small nuclear ribonucleoprotein D3 polypeptide%2C like [Source:ZFIN%3BAcc:ZDB-GENE-030131-5219]
ENSLOCP00000008455	snrpd3l	small nuclear ribonucleoprotein D3 polypeptide%2C like [Source:ZFIN%3BAcc:ZDB-GENE-030131-5219]
ENSLOCP00000008464	gucd1	guanylyl cyclase domain containing 1 [Source:ZFIN%3BAcc:ZDB-GENE-060929-872]
ENSLOCP00000008484	gucd1	guanylyl cyclase domain containing 1 [Source:ZFIN%3BAcc:ZDB-GENE-060929-872]
ENSLOCP00000008526	upb1	ureidopropionase%2C beta [Source:ZFIN%3BAcc:ZDB-GENE-030131-1380]
ENSLOCP00000008508	upb1	ureidopropionase%2C beta [Source:ZFIN%3BAcc:ZDB-GENE-030131-1380]
ENSLOCP00000008543	adora2aa	adenosine A2a receptor a [Source:ZFIN%3BAcc:ZDB-GENE-080723-28]
ENSLOCP00000008562	specc1la	sperm antigen with calponin homology and coiled-coil domains 1-like a [Source:ZFIN%3BAcc:ZDB-GENE-060810-139]
ENSLOCP00000008578	specc1la	sperm antigen with calponin homology and coiled-coil domains 1-like a [Source:ZFIN%3BAcc:ZDB-GENE-060810-139]
ENSLOCP00000008619	si:dkey-91m11.5	si:dkey-91m11.5 [Source:ZFIN%3BAcc:ZDB-GENE-060503-932]
ENSLOCP00000008637	si:dkey-91m11.5	si:dkey-91m11.5 [Source:ZFIN%3BAcc:ZDB-GENE-060503-932]
ENSLOCP00000008655	ift81	intraflagellar transport 81 homolog [Source:ZFIN%3BAcc:ZDB-GENE-040714-3]
ENSLOCP00000008710	atp2a2b	ATPase%2C Ca++ transporting%2C cardiac muscle%2C slow twitch 2b [Source:ZFIN%3BAcc:ZDB-GENE-030131-867]
ENSLOCP00000008696	atp2a2b	ATPase%2C Ca++ transporting%2C cardiac muscle%2C slow twitch 2b [Source:ZFIN%3BAcc:ZDB-GENE-030131-867]
ENSLOCP00000008730	anapc7	anaphase promoting complex subunit 7 [Source:ZFIN%3BAcc:ZDB-GENE-081104-113]
ENSLOCP00000008747	unknown	unknown
ENSLOCP00000008757	arpc3	actin related protein 2/3 complex%2C subunit 3 [Source:ZFIN%3BAcc:ZDB-GENE-040625-107]
ENSLOCP00000008775	gpn3	GPN-loop GTPase 3 [Source:ZFIN%3BAcc:ZDB-GENE-040724-141]
ENSLOCP00000008786	unknown	unknown
ENSLOCP00000008827	vps29	vacuolar protein sorting 29 homolog (S. cerevisiae) [Source:ZFIN%3BAcc:ZDB-GENE-030131-8764]
ENSLOCP00000008801	vps29	vacuolar protein sorting 29 homolog (S. cerevisiae) [Source:ZFIN%3BAcc:ZDB-GENE-030131-8764]
ENSLOCP00000008851	rad9b	RAD9 checkpoint clamp component B [Source:ZFIN%3BAcc:ZDB-GENE-040910-3]
ENSLOCP00000008868	pptc7b	PTC7 protein phosphatase homolog b [Source:ZFIN%3BAcc:ZDB-GENE-081105-111]
ENSLOCP00000008887	tctn1	tectonic family member 1 [Source:ZFIN%3BAcc:ZDB-GENE-081104-157]
ENSLOCP00000008902	hvcn1	hydrogen voltage-gated channel 1 [Source:ZFIN%3BAcc:ZDB-GENE-040718-36]
ENSLOCP00000008920	PPP1CC	protein phosphatase 1 catalytic subunit gamma [Source:HGNC Symbol%3BAcc:HGNC:9283]
ENSLOCP00000008929	PPP1CC	protein phosphatase 1 catalytic subunit gamma [Source:HGNC Symbol%3BAcc:HGNC:9283]
ENSLOCP00000008943	CCDC63	coiled-coil domain containing 63 [Source:HGNC Symbol%3BAcc:HGNC:26669]
ENSLOCP00000008957	CCDC63	coiled-coil domain containing 63 [Source:HGNC Symbol%3BAcc:HGNC:26669]
ENSLOCP00000008974	CCDC63	coiled-coil domain containing 63 [Source:HGNC Symbol%3BAcc:HGNC:26669]
ENSLOCP00000008985	myl2b	myosin%2C light chain 2b%2C regulatory%2C cardiac%2C slow [Source:ZFIN%3BAcc:ZDB-GENE-060331-137]
ENSLOCP00000009008	cux2b	cut-like homeobox 2b [Source:ZFIN%3BAcc:ZDB-GENE-081104-176]
ENSLOCP00000009019	cux2b	cut-like homeobox 2b [Source:ZFIN%3BAcc:ZDB-GENE-081104-176]
ENSLOCP00000009040	mtmr3	myotubularin related protein 3 [Source:ZFIN%3BAcc:ZDB-GENE-091204-465]
ENSLOCP00000009054	mtmr3	myotubularin related protein 3 [Source:ZFIN%3BAcc:ZDB-GENE-091204-465]
ENSLOCP00000009078	ascc2	activating signal cointegrator 1 complex subunit 2 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1223]
ENSLOCP00000009093	rnf215	ring finger protein 215 [Source:ZFIN%3BAcc:ZDB-GENE-060526-65]
ENSLOCP00000009110	sec14l8	SEC14-like lipid binding 8 [Source:ZFIN%3BAcc:ZDB-GENE-060526-180]
ENSLOCP00000009139	MTFP1	mitochondrial fission process 1 [Source:HGNC Symbol%3BAcc:HGNC:26945]
ENSLOCP00000009124	MTFP1	mitochondrial fission process 1 [Source:HGNC Symbol%3BAcc:HGNC:26945]
ENSLOCP00000009155	unknown	unknown
ENSLOCP00000009172	unknown	unknown
ENSLOCP00000009199	MED13L	mediator complex subunit 13 like [Source:HGNC Symbol%3BAcc:HGNC:22962]
